Twitter_Handle,Tweet_Text,Tweet_URL,Tweet_Date
@dan_gaspari,RT CapTechListens: RT nerdboutique: #captechlistens we are here at #data17! Tableau conference. https://t.co/qjghHPrcWg,http://twitter.com/dan_gaspari/status/918451060037050368,"October 12, 2017 at 08:19AM"
@dan_gaspari,RT CapTechListens: RT nerdboutique: #data17. Tableau conference continues.  Kinda like a festival. Festdataval. Fuâ€_ https://t.co/4pNnrPPlci,http://twitter.com/dan_gaspari/status/918451063371464711,"October 12, 2017 at 08:19AM"
@dan_gaspari,RT CapTechListens: RT nerdboutique: #data17 #captechnation  #captechlife sends 3 to Tableau conference https://t.co/irKzNhIdCQ,http://twitter.com/dan_gaspari/status/918451066458509312,"October 12, 2017 at 08:19AM"
@Social_Man13,"RT @Informatica: Great Data Requires Great #DataIntegration â†’ https://t.co/0R1iDtLLpX #Data17 https://t.co/EKq55wMHD3",http://twitter.com/Social_Man13/status/918451970427547648,"October 12, 2017 at 08:23AM"
@YvesMulkers,RT @MeaganSomo: Every ##Data17 Iâ€™ve seen is going to bed...SAY IT AINT SO...,http://twitter.com/YvesMulkers/status/918452178293018625,"October 12, 2017 at 08:23AM"
@dataimprint,"RT @j0ecampb3ll: A week after act of evil, #datanightout f/#data17 held w/15k nerds in shadow of @MandalayBay. Don't let terror win.â€_ https://t.co/mXYhqWPkYX",http://twitter.com/dataimprint/status/918453450748321792,"October 12, 2017 at 08:29AM"
@Ryan7walker,RT @tableau: Want to recap the best highlights from #DevsOnStage? Check out the latest #data17 blog: https://t.co/urhSoHAMZr https://t.co/6Bv0nDjXgM,http://twitter.com/Ryan7walker/status/918453714167271424,"October 12, 2017 at 08:30AM"
@Ryan7walker,RT @aselipsky: #IronViz talent was through the roof. Fantastic showing from all of our contestants! Congrats to @TristanGuillevi!â€_ https://t.co/kec5xzTir9,http://twitter.com/Ryan7walker/status/918453885806682113,"October 12, 2017 at 08:30AM"
@TableauTipsViz,#Tutorial: How to perform Text Mining at the Speed of Thought directly in #Tableau #data17 https://t.co/cP9WMwI1it https://t.co/F73AwJZa1S,http://twitter.com/TableauTipsViz/status/918453953540521984,"October 12, 2017 at 08:31AM"
@APBostic,"CapTechListens: RT nerdboutique: #captechlistens, I see data! Andy cotgrave big book of dashboards session. #data17 https://t.co/OzmpnDHQRt",http://twitter.com/APBostic/status/918454080464478208,"October 12, 2017 at 08:31AM"
@APBostic,"CapTechListens: RT nerdboutique: #captechlistens Captech and 15,000 data enthusiasts! #data17 https://t.co/20eXcnIrc2",http://twitter.com/APBostic/status/918454082771345408,"October 12, 2017 at 08:31AM"
@APBostic,CapTechListens: RT nerdboutique: #captechlistens we are here at #data17! Tableau conference. https://t.co/d7yH6arSfh,http://twitter.com/APBostic/status/918454084574810112,"October 12, 2017 at 08:31AM"
@APBostic,CapTechListens: RT nerdboutique: #data17. Tableau conference continues.  Kinda like a festival. Festdataval. Full â€_ https://t.co/6R5cpH4P0M,http://twitter.com/APBostic/status/918454095828176896,"October 12, 2017 at 08:31AM"
@APBostic,CapTechListens: RT nerdboutique: #data17 #captechnation  #captechlife sends 3 to Tableau conference https://t.co/OqWchKrde9,http://twitter.com/APBostic/status/918454098260889600,"October 12, 2017 at 08:31AM"
@RosaTorresPHL,"RT @j0ecampb3ll: A week after act of evil, #datanightout f/#data17 held w/15k nerds in shadow of @MandalayBay. Don't let terror win.â€_ https://t.co/mXYhqWPkYX",http://twitter.com/RosaTorresPHL/status/918454223238340609,"October 12, 2017 at 08:32AM"
@arpatech,RT @idigdata: Interesting estimates on #businessintelligence growth stats #Data17 https://t.co/8bz9t09e6h,http://twitter.com/arpatech/status/918454251906568192,"October 12, 2017 at 08:32AM"
@YvesMulkers,RT @APBostic: CapTechListens: RT nerdboutique: #data17. Tableau conference continues.  Kinda like a festival. Festdataval. Full â€_ https://t.co/6R5cpH4P0M,http://twitter.com/YvesMulkers/status/918454943874510849,"October 12, 2017 at 08:34AM"
@Justin_OSull,"EIC Discover for @Tableau: In Context Data Catalog for Self Service BI https://t.co/RPQzJlww3M #Data17",http://twitter.com/Justin_OSull/status/918455277879480320,"October 12, 2017 at 08:36AM"
@doxyden,Tableau Data Fellows partying with our data Vegas style! #TableauFoundation #data17 https://t.co/K8DfbHrbNj,http://twitter.com/doxyden/status/918455336465440768,"October 12, 2017 at 08:36AM"
